iter	TotalF1	MultiClass
0	0.8223434652	0.945904814
1	0.8433629609	0.751873805
2	0.8543536955	0.6186156871
3	0.8618195691	0.5390004322
4	0.8644596699	0.4757535776
5	0.8713424389	0.4229597413
6	0.8740216043	0.3931325847
7	0.8779981266	0.3684685711
8	0.8806121345	0.3513637497
9	0.8834953069	0.3364055432
10	0.8884831322	0.3127642068
11	0.8916222201	0.2984743935
12	0.8932164493	0.289574396
13	0.8973551894	0.280710721
14	0.8987111227	0.2739824701
15	0.9013641772	0.2681057825
16	0.9027265506	0.2622864779
17	0.9064410347	0.2559970554
18	0.9069563639	0.2541384187
19	0.9090052962	0.2501282311
20	0.9095382462	0.2477677172
21	0.9096693406	0.2476176172
22	0.910935791	0.2428020711
23	0.9125740881	0.2393499262
24	0.9155948765	0.2350566899
25	0.9177931897	0.2307932046
26	0.9188893612	0.2281773753
27	0.9214116041	0.2244488609
28	0.9227455087	0.2209897485
29	0.9242201808	0.2180143961
30	0.9245789603	0.2151562669
31	0.926001462	0.2108084047
32	0.9275431881	0.2086012246
33	0.9282651402	0.2049253458
34	0.9286357875	0.2026204937
35	0.9302330082	0.1989281896
36	0.9312236174	0.1963785381
37	0.9322238894	0.1938133182
38	0.9333078402	0.1914735905
39	0.9344471931	0.189860536
40	0.9353076959	0.1877926721
41	0.9359905295	0.186036831
42	0.9364486338	0.1853783899
43	0.9377694697	0.1838721207
44	0.9381155105	0.1823015311
45	0.9379883476	0.1799965528
46	0.9392602546	0.1778122839
47	0.9390337081	0.176555188
48	0.9393937316	0.1756544401
49	0.9400328944	0.1746704351
50	0.9413134476	0.1729143377
51	0.9426573461	0.1703500485
52	0.9430207618	0.1690806979
53	0.9443496857	0.1667461868
54	0.9440703793	0.1661376776
55	0.9449418853	0.1640794443
56	0.9451602795	0.1628313437
57	0.9453925561	0.1619754159
58	0.9467747371	0.1602596945
59	0.9473199489	0.1596533214
60	0.9478220885	0.1578629057
61	0.9484626053	0.1560625675
62	0.9493260565	0.1545759366
63	0.9504165251	0.1520357274
64	0.9508243192	0.1510391835
65	0.9520995403	0.1480613034
66	0.9531021523	0.1462867761
67	0.953240328	0.1455725538
68	0.9548309568	0.1429716485
69	0.9551928231	0.1422213958
70	0.955784992	0.1414907312
71	0.9559228749	0.1402982736
72	0.9561486504	0.1395628978
73	0.956146011	0.1387835055
74	0.9568305411	0.1376107968
75	0.9572453908	0.1364110893
76	0.957927907	0.135113191
77	0.9589260157	0.1339305419
78	0.9593842183	0.1322363449
79	0.9593352858	0.1310218194
80	0.960335889	0.1297087552
81	0.9606072078	0.1287878014
82	0.9608803117	0.1279606725
83	0.9609274989	0.126834172
84	0.9612904108	0.1259225861
85	0.9617887961	0.12534042
86	0.9624714882	0.1241890374
87	0.9631079879	0.1230332499
88	0.9640599584	0.1215550812
89	0.9647395737	0.1204970531
90	0.9642840346	0.1191405687
91	0.9642838141	0.1186345926
92	0.9646056838	0.1180775485
93	0.9654235799	0.1170860389
94	0.9662411367	0.116096482
95	0.9663774364	0.1153112004
96	0.9660590973	0.1146975766
97	0.9661940738	0.1139002411
98	0.9671495349	0.1125137397
99	0.9677390807	0.111936189
