iter	Passed	Remaining
0	2155	105636
1	4079	97897
2	6034	94545
3	7925	91144
4	9796	88168
5	11681	85666
6	13623	83686
7	15603	81919
8	17500	79723
9	19422	77689
10	21366	75755
11	23314	73829
12	25272	71929
13	27206	69959
14	29171	68066
15	31145	66185
16	33134	64320
17	35067	62341
18	37051	60452
19	39081	58621
20	41269	56991
21	43341	55162
22	45336	53220
23	47457	51412
24	49636	49636
25	51632	47661
26	53620	45676
27	55604	43689
28	57619	41724
29	59624	39749
30	61725	37831
31	63794	35884
32	65833	33914
33	67890	31948
34	69973	29988
35	72072	28028
36	74094	26033
37	76141	24044
38	78211	22059
39	80275	20068
40	82343	18075
41	84399	16076
42	86493	14080
43	88568	12077
44	90677	10075
45	92805	8070
46	94951	6060
47	97058	4044
48	99244	2025
49	101350	0
