rank,"city",2018 Total,2019 Total,Prel. 2020 Total,Average,teext
1,Binh Duong,6823,7433,7033.77,7096.59,"'Binh Duong':1,"
2,Ho Chi Minh,6177,6758,6536.88,6490.626667,"'Ho Chi Minh':2,"
3,Ha Noi,6054,6403,6205.45,6220.816667,"'Ha Noi':3,"
4,South East,5709,6280,6024.94,6004.646667,"'South East':4,"
5,Da Nang,5506,6057,5283.63,5615.543333,"'Da Nang':5,"
6,Dong Nai,5300,5860,5621.32,5593.773333,"'Dong Nai':6,"
7,Bac Ninh,5446,5714,5439.2,5533.066667,"'Bac Ninh':7,"
8,Hai Phong,5116,5576,5199.4,5297.133333,"'Hai Phong':8,"
9,Red River Delta,4834,5191,5084.52,5036.506667,"'Red River Delta':9,"
10,Ba Ria Vung Tau,4881,5310,4610.35,4933.783333,"'Ba Ria Vung Tau':10,"
11,Quang Ninh,4777,5198,4539.47,4838.156667,"'Quang Ninh':11,"
12,Can Tho,4371,4713,5031.09,4705.03,"'Can Tho':12,"
13,Tay Ninh,4258,4549,4246.05,4351.016667,"'Tay Ninh':13,"
14,Long An,4215,4544,4231.85,4330.283333,"'Long An':14,"
15,Tien Giang,3984,4296,4534.3,4271.433333,"'Tien Giang':15,"
16, WHOLE COUNTRY,3876,4295,4249.15,4140.05,"' WHOLE COUNTRY':16,"
17,Kien  Giang,3779,4079,4368.54,4075.513333,"'Kien  Giang':17,"
18,Hai Duong,3693,4091,4388.45,4057.483333,"'Hai Duong':18,"
19,Thai Nguyen,4015,4279,3805.66,4033.22,"'Thai Nguyen':19,"
20,Vinh Phuc,3699,4086,4289.92,4024.973333,"'Vinh Phuc':20,"
21,Hung Yen,3843,4183,4042.63,4022.876667,"'Hung Yen':21,"
22,Ninh Binh,3778,3997,3904.38,3893.126667,"'Ninh Binh':22,"
23,Thai Binh,3547,3866,4208.78,3873.926667,"'Thai Binh':23,"
24,Ha Nam,3608,3928,4028.7,3854.9,"'Ha Nam':24,"
25,Binh Phuoc,3604,3881,4038.69,3841.23,"'Binh Phuoc':25,"
26,Hau Giang,3548,3871,3974.29,3797.763333,"'Hau Giang':26,"
27,Mekong River Delta,3588,3886,3872.72,3782.24,"'Mekong River Delta':27,"
28,Lam Dong,3641,3929,3741.92,3770.64,"'Lam Dong':28,"
29,Dong Thap,3500,3777,3965.11,3747.37,"'Dong Thap':29,"
30,Soc Trang,3653,3898,3635.02,3728.673333,"'Soc Trang':30,"
31,Nam Dinh,3384,3684,4096.22,3721.406667,"'Nam Dinh':31,"
32,Bac Giang,3450,3773,3929.68,3717.56,"'Bac Giang':32,"
33,Binh Thuan,3445,3718,3981.14,3714.713333,"'Binh Thuan':33,"
34,An Giang,3560,3841,3338.19,3579.73,"'An Giang':34,"
35,Ben Tre,3409,3685,3544.07,3546.023333,"'Ben Tre':35,"
36,Khanh  Hoa,3455,3797,3152.68,3468.226667,"'Khanh  Hoa':36,"
37,Binh Dinh,3024,3355,3441.21,3273.403333,"'Binh Dinh':37,"
38,Thanh Hoa,3015,3277,3509.7,3267.233333,"'Thanh Hoa':38,"
39,Northern Central area and Central coastal area,3015,3331,3403.2,3249.733333,"'Northern Central area and Central coastal area':39,"
40,Thua Thien Hue,3084,3423,3212.37,3239.79,"'Thua Thien-Hue':40,"
41,Quang  Nam,2906,3192,3554.99,3217.663333,"'Quang  Nam':41,"
42,Vinh Long,3089,3329,3201.26,3206.42,"'Vinh Long':42,"
43,Tra Vinh,2869,3138,3436.71,3147.903333,"'Tra Vinh':43,"
44,Phu Tho,2892,3182,3331.09,3135.03,"'Phu Tho':44,"
45,Ca Mau,2986,3214,3034.4,3078.133333,"'Ca Mau':45,"
46,Ha Tinh,2844,3123,3230.14,3065.713333,"'Ha Tinh':46,"
47,Quang  Ngai,2900,3084,3158.59,3047.53,"'Quang  Ngai':47,"
48,Phu Yen,2837,3080,3223.61,3046.87,"'Phu Yen':48,"
49,Dak Nong,3030,3234,2808.54,3024.18,"'Dak Nong':49,"
50,Bac Lieu,2699,2965,3338.48,3000.826667,"'Bac Lieu':50,"
51,Central Highlands,2896,3095,2814.47,2935.156667,"'Central Highlands':51,"
